BibNum,Title,Author,ISBN,PublicationYear,Publisher,Subjects,ItemType,ItemCollection,FloatingItem,ItemLocation,ReportDate,ItemCount
3042880,Scandal in the secret city / Diane Fanning.,"Fanning, Diane","0727884042, 9780727884046",2014.,"Severn House,","Women scientists Fiction, Murder Investigation Fiction, Oak Ridge Tenn Fiction, Mystery fiction, Historical fiction",acbk,namys,Floating,spa,2018-03-01T00:00:00.000,1
2991160,"Shakespeare in America : an anthology from the revolution to now / James Shapiro, editor ; foreword by President Bill Clinton.",,"1598532952, 9781598532951",2014,"The Library of America,","Shakespeare William 1564 1616 Appreciation United States, Shakespeare William 1564 1616 Influence, Shakespeare William 1564 1616 Criticism and interpretation History, Shakespeare William 1564 1616 Stage history United States, Theater and society United States, United States Intellectual life",acbk,canf,NA,cen,2018-03-01T00:00:00.000,2
3176007,"The whole coconut cookbook : vibrant dairy-free, gluten-free recipes featuring nature's most versatile ingredient / Nathalie Fraise ; photography by Erin Scott.","Fraise, Nathalie","1607748053, 9781607748052",[2016],"Ten Speed Press,","Cooking Coconut, Cookbooks",acbk,nanf,NA,nhy,2018-03-01T00:00:00.000,1
3145640,The Covenant with Black America - ten years later / compiled and edited by Tavis Smiley.,,"140195149X, 9781401951498",[2016],"Hay House, Inc.,","African Americans Social conditions 1975, African Americans Politics and government, African American leadership, United States Race relations",acbk,nanf,NA,bal,2018-03-01T00:00:00.000,1
2136012,Soldiers of freedom : an illustrated history of African Americans in the Armed Forces / Kai Wright.,"Wright, Kai",1579122531,[2002],"Black Dog & Leventhal,","United States Armed Forces African Americans History, United States Armed Forces African Americans Biography",acbk,naaanf,NA,dth,2018-03-01T00:00:00.000,1
1323718,al-ʻArabīyah al-ṣaḥīḥah : dalīl al-bāḥith ilá al-ṣawāb al-lughawī / Aḥmad Mukhtār ʻUmar.,"ʻUmar, Aḥmad Mukhtār",,1981.,"ʻĀlam al-Kutub,",Arabic language,acbk,caln,NA,cen,2018-03-01T00:00:00.000,1
3055896,"Dolphin tale 2 / Warner Bros. Pictures ; Alcon Entertainment ; produced by Andrew A. Kosove, Broderick Johnson, Richard Ingber, Steven P. Wegner ; written and directed by Charles Martin Smith.",,,[2014],"[Publisher not identified],","Dolphins Behavior Juvenile drama, Aquariums Juvenile drama, Animal films, Fiction films, Feature films, Childrens films, Video recordings for the hearing impaired",jcdvd,ncdvd,Floating,cap,2018-03-01T00:00:00.000,1
2721790,Doggy whys? / Lila Prap.,"Prap, Lila, 1955-","0735840148, 9780735840140",[2011],"NorthSouth,","Dog breeds Juvenile literature, Dogs Behavior Juvenile literature, Dogs Juvenile humor",jcbk,ncnf,NA,net,2018-03-01T00:00:00.000,1
1914324,Dark canyon / Louis L'Amour.,"L'Amour, Louis, 1908-1988",0786208767,1999.,"Thorndike Press,","Large type books, Ranching New Mexico Fiction, Frontier and pioneer life New Mexico Fiction, New Mexico Social life and customs Fiction, Western stories",acbk,cs1malf,NA,cen,2018-03-01T00:00:00.000,1
3266155,"X-Mickey. The contest / Stefano Ambrosio, writer ; Stefano Turconi, artist.","Ambrosio, Stefano","1629916471, 162991648X, 9781629916477, 9781629916484",[2017],"Papercutz,","Mouse Mickey Fictitious character Comic books strips etc, Disney characters Comic books strips etc, Paranormal comics, Graphic novels, Comics Graphic works",jcbk,nccomic,NA,spa,2018-03-01T00:00:00.000,1
409734,"Clay, its composition, properties and uses / by Joseph Newton.","Newton, Joseph, 1909-",,1960.,"Idaho Bureau of Mines and Geology,",Clay,arbk,cs7r,NA,cen,2018-03-01T00:00:00.000,1
1819144,"Foreign relations of the United States 1958-1960 / editor in chief, John P. Glennon ; editors, Edward C. Keefer, David W. Mabon.",United States. Department of State,,1986-<1994>,"U.S. Govt. Print. Off.,","United States Foreign relations 1953 1961, United States Foreign relations Vietnam, United States Foreign relations Japan",acbk,canf,NA,cen,2018-03-01T00:00:00.000,1
2744587,"House of stone : a memoir of home, family, and a lost Middle East / Anthony Shadid.","Shadid, Anthony","0547134665, 9780547134666",2012.,"Houghton Mifflin Harcourt,","Families Lebanon, Home Lebanon History, Lebanon Emigration and immigration Social aspects, Middle East Social conditions",acbk,nanf,NA,dth,2018-03-01T00:00:00.000,1
3171181,A dragon's guide to making your human smarter / Laurence Yep & Joanne Ryder.,"Yep, Laurence, 1948-","0147521238, 0147521254, 9780147521231, 9780147521255",[2016],"Listening Library,","Schools Juvenile fiction, Dragons Juvenile fiction, Magic Juvenile fiction",jccd,ccbocd,NA,cen,2018-03-01T00:00:00.000,1
1881252,Gertrude Chandler Warner and the Boxcar children / Mary Ellen Ellsworth ; illustrated by Marie DeJohn.,"Ellsworth, Mary Ellen",0807528374,[1997],"A. Whitman,","Warner Gertrude Chandler 1890 1979 Juvenile literature, Warner Gertrude Chandler 1890 1979 Boxcar children myteries Juvenile literature, Women authors American 20th century Biography Juvenile literature, Childrens stories Authorship Juvenile literature, Authors American Juvenile literature, Women Juvenile fiction",jcbk,ccnf,NA,cen,2018-03-01T00:00:00.000,1
3009034,Shackleton : Antarctic odyssey / Nick Bertozzi.,"Bertozzi, Nick","1596434511, 9781596434516",2014.,"First Second,","Shackleton Ernest Henry Sir 1874 1922 Comic books strips etc, Shackleton Ernest Henry Sir 1874 1922 Juvenile literature, Explorers Great Britain Biography Comic books strips etc, Explorers Great Britain Biography Juvenile literature, Antarctica Discovery and exploration British Comic books strips etc, Antarctica Discovery and exploration British Juvenile literature, Graphic novels, Nonfiction comics",acbk,cycomic,NA,cen,2018-03-01T00:00:00.000,2
3280263,Abide with me : a novel / Elizabeth Strout.,"Strout, Elizabeth","0812971825, 9780812971828",2007.,"Random House Trade Paperbacks,","Clergy Fiction, Widowers Fiction, Bereavement Fiction, Mute persons Fiction, Single fathers Fiction, Fathers and daughters Fiction, New England Fiction, Domestic fiction, Psychological fiction",acbk,nafic,NA,bal,2018-03-01T00:00:00.000,1
3109239,The economics of inequality / Thomas Piketty ; translated by Arthur Goldhammer.,"Piketty, Thomas, 1971-","0674504801, 9780674504806",c2015.,"Belknap Press of Harvard University Press,","Income distribution, Equality Economic aspects",acbk,canf,NA,cen,2018-03-01T00:00:00.000,2
3156887,Sunset City : a novel / Melissa Ginsburg.,"Ginsburg, Melissa","0062429701, 9780062429704",[2016],"Ecco, an imprint of HarperCollins Publishers,","Female friendship Fiction, Murder Fiction, Houston Tex Fiction, Mystery fiction",acbk,cafic,NA,cen,2018-03-01T00:00:00.000,2
2633899,The sixty-eight rooms / Marianne Malone ; illustrations by Greg Call.,"Malone, Marianne","0375857109, 0375857117, 0375957103, 9780375857102, 9780375857119, 9780375957109",2010.,"Random House,","Art Institute of Chicago Juvenile fiction, Miniature rooms Juvenile fiction, School field trips Juvenile fiction, Size Juvenile fiction, Magic Juvenile fiction",jcbk,ccfic,NA,cen,2018-03-01T00:00:00.000,1
